Results K-fold
1) accuracy: 67.86
2) accuracy: 82.14
3) accuracy: 82.14
4) accuracy: 85.71
5) accuracy: 75.0
6) accuracy: 78.57
7) accuracy: 75.0
8) accuracy: 75.0
9) accuracy: 78.57
10) accuracy: 78.57
11) accuracy: 75.0
12) accuracy: 82.14
13) accuracy: 64.29
14) accuracy: 71.43
15) accuracy: 82.14
16) accuracy: 78.57
17) accuracy: 75.0
18) accuracy: 82.14
19) accuracy: 78.57
20) accuracy: 71.43
21) accuracy: 75.0
22) accuracy: 60.71
23) accuracy: 78.57
24) accuracy: 67.86
25) accuracy: 60.71
26) accuracy: 75.0
27) accuracy: 85.71
28) accuracy: 75.0
29) accuracy: 85.71
30) accuracy: 82.14
31) accuracy: 82.14
32) accuracy: 67.86
33) accuracy: 82.14
34) accuracy: 82.14
35) accuracy: 75.0
36) accuracy: 82.14
37) accuracy: 75.0
38) accuracy: 82.14
39) accuracy: 82.14
40) accuracy: 71.43
41) accuracy: 67.86
42) accuracy: 75.0
43) accuracy: 78.57
44) accuracy: 71.43
45) accuracy: 71.43
46) accuracy: 64.29
47) accuracy: 78.57
48) accuracy: 75.0
49) accuracy: 82.14
50) accuracy: 71.43
51) accuracy: 85.71
52) accuracy: 71.43
53) accuracy: 64.29
54) accuracy: 78.57
55) accuracy: 71.43
56) accuracy: 75.0
57) accuracy: 82.14
58) accuracy: 75.0
59) accuracy: 71.43
60) accuracy: 75.0
61) accuracy: 71.43
62) accuracy: 85.71
63) accuracy: 64.29
64) accuracy: 78.57
65) accuracy: 85.71
66) accuracy: 82.14
67) accuracy: 82.14
68) accuracy: 85.71
69) accuracy: 82.14
70) accuracy: 78.57
71) accuracy: 71.43
72) accuracy: 71.43
73) accuracy: 85.71
74) accuracy: 53.57
75) accuracy: 75.0
76) accuracy: 67.86
77) accuracy: 82.14
78) accuracy: 85.71
79) accuracy: 75.0
80) accuracy: 67.86
81) accuracy: 78.57
82) accuracy: 78.57
83) accuracy: 67.86
84) accuracy: 67.86
85) accuracy: 78.57
86) accuracy: 85.71
87) accuracy: 89.29
88) accuracy: 85.71
89) accuracy: 82.14
90) accuracy: 75.0
91) accuracy: 71.43
92) accuracy: 71.43
93) accuracy: 71.43
94) accuracy: 82.14
95) accuracy: 67.86
96) accuracy: 75.0
97) accuracy: 82.14
98) accuracy: 78.57
99) accuracy: 78.57
100) accuracy: 78.57
101) accuracy: 82.14
102) accuracy: 78.57
103) accuracy: 82.14
104) accuracy: 75.0
105) accuracy: 85.71
106) accuracy: 85.71
107) accuracy: 75.0
108) accuracy: 85.71
109) accuracy: 82.14
110) accuracy: 78.57
111) accuracy: 67.86
112) accuracy: 78.57
113) accuracy: 75.0
114) accuracy: 71.43
115) accuracy: 71.43
116) accuracy: 85.71
117) accuracy: 71.43
118) accuracy: 78.57
119) accuracy: 78.57
120) accuracy: 78.57
121) accuracy: 85.71
122) accuracy: 75.0
123) accuracy: 78.57
124) accuracy: 89.29
125) accuracy: 78.57
126) accuracy: 85.71
127) accuracy: 71.43
128) accuracy: 82.14
129) accuracy: 85.71
130) accuracy: 71.43
131) accuracy: 67.86
132) accuracy: 89.29
133) accuracy: 85.71
134) accuracy: 82.14
135) accuracy: 78.57
136) accuracy: 78.57
137) accuracy: 64.29
138) accuracy: 71.43
139) accuracy: 78.57
140) accuracy: 78.57
141) accuracy: 78.57
142) accuracy: 82.14
143) accuracy: 67.86
144) accuracy: 67.86
145) accuracy: 67.86
146) accuracy: 78.57
147) accuracy: 71.43
148) accuracy: 78.57
149) accuracy: 78.57
150) accuracy: 78.57
151) accuracy: 75.0
152) accuracy: 82.14
153) accuracy: 67.86
154) accuracy: 64.29
155) accuracy: 92.86
156) accuracy: 82.14
157) accuracy: 85.71
158) accuracy: 78.57
159) accuracy: 64.29
160) accuracy: 71.43
161) accuracy: 75.0
162) accuracy: 85.71
163) accuracy: 82.14
164) accuracy: 85.71
165) accuracy: 75.0
166) accuracy: 78.57
167) accuracy: 71.43
168) accuracy: 64.29
169) accuracy: 75.0
170) accuracy: 75.0
171) accuracy: 71.43
172) accuracy: 82.14
173) accuracy: 67.86
174) accuracy: 71.43
175) accuracy: 71.43
176) accuracy: 82.14
177) accuracy: 78.57
178) accuracy: 85.71
179) accuracy: 78.57
180) accuracy: 67.86
181) accuracy: 75.0
182) accuracy: 89.29
183) accuracy: 82.14
184) accuracy: 71.43
185) accuracy: 78.57
186) accuracy: 71.43
187) accuracy: 78.57
188) accuracy: 71.43
189) accuracy: 82.14
190) accuracy: 78.57
191) accuracy: 78.57
192) accuracy: 67.86
193) accuracy: 71.43
194) accuracy: 82.14
195) accuracy: 75.0
196) accuracy: 82.14
197) accuracy: 78.57
198) accuracy: 67.86
199) accuracy: 82.14
200) accuracy: 75.0
201) accuracy: 78.57
202) accuracy: 75.0
203) accuracy: 78.57
204) accuracy: 60.71
205) accuracy: 67.86
206) accuracy: 89.29
207) accuracy: 64.29
208) accuracy: 78.57
209) accuracy: 82.14
210) accuracy: 89.29
211) accuracy: 85.71
212) accuracy: 64.29
213) accuracy: 85.71
214) accuracy: 78.57
215) accuracy: 67.86
216) accuracy: 78.57
217) accuracy: 64.29
